,precision,recall,f1-score,support
0,0.9964492314988737,0.9998184174770047,0.998130981328566,159707.0
1,0.0,0.0,0.0,569.0
accuracy,0.9962689360852529,0.9962689360852529,0.9962689360852529,0.9962689360852529
macro avg,0.4982246157494368,0.49990920873850236,0.499065490664283,160276.0
weighted avg,0.9929117111419714,0.9962689360852529,0.994587490547813,160276.0
