generation,fitness,num_nodes,num_connections
0,0.9853827307770479,1,8
1,0.9853827307770479,1,8
10,0.9853827307770479,1,8
11,0.9853827307770479,1,8
12,0.9853827307770479,1,8
13,0.9853827307770479,1,8
14,0.9951511820144198,1,7
2,0.9853827307770479,1,8
3,0.9853827307770479,1,8
4,0.9853827307770479,1,8
5,0.9853827307770479,1,8
6,0.9853827307770479,1,8
7,0.9853827307770479,1,8
8,0.9853827307770479,1,8
9,0.9853827307770479,1,8
